round,prediction,actual,result,bet,profit,balance
1,莊,莊,贏,100,95.0,95.0
2,莊,莊,贏,100,95.0,190.0
3,莊,莊,贏,100,95.0,285.0
4,莊,莊,贏,100,95.0,380.0
5,莊,閒,輸,100,-100.0,280.0
6,莊,閒,輸,100,-100.0,180.0
7,莊,閒,輸,100,-100.0,80.0
8,莊,閒,輸,100,-100.0,-20.0
9,莊,閒,輸,100,-100.0,-120.0
10,莊,莊,贏,100,95.0,-25.0
11,莊,莊,贏,100,95.0,70.0
12,莊,和,和局,0,0.0,70.0
13,閒,莊,輸,100,-100.0,-30.0
14,閒,閒,贏,100,100.0,70.0
15,閒,閒,贏,100,100.0,170.0
16,閒,閒,贏,100,100.0,270.0
17,閒,莊,輸,100,-100.0,170.0
18,閒,閒,贏,100,100.0,270.0
19,閒,莊,輸,100,-100.0,170.0
20,莊,閒,輸,100,-100.0,70.0
21,閒,閒,贏,100,100.0,170.0
22,閒,莊,輸,100,-100.0,70.0
23,閒,莊,輸,100,-100.0,-30.0
24,閒,莊,輸,100,-100.0,-130.0
25,莊,閒,輸,100,-100.0,-230.0
26,莊,莊,贏,100,95.0,-135.0
27,莊,閒,輸,100,-100.0,-235.0
28,莊,莊,贏,100,95.0,-140.0
29,莊,閒,輸,100,-100.0,-240.0
30,莊,莊,贏,100,95.0,-145.0
31,莊,閒,輸,100,-100.0,-245.0
32,莊,閒,輸,100,-100.0,-345.0
33,莊,閒,輸,100,-100.0,-445.0
34,閒,和,和局,0,0.0,-445.0
35,閒,和,和局,0,0.0,-445.0
36,閒,和,和局,0,0.0,-445.0
37,閒,和,和局,0,0.0,-445.0
38,閒,莊,輸,100,-100.0,-545.0
39,閒,閒,贏,100,100.0,-445.0
40,閒,閒,贏,100,100.0,-345.0
41,閒,莊,輸,100,-100.0,-445.0
42,閒,和,和局,0,0.0,-445.0
43,閒,閒,贏,100,100.0,-345.0
44,閒,和,和局,0,0.0,-345.0
45,閒,莊,輸,100,-100.0,-445.0
46,莊,閒,輸,100,-100.0,-545.0
47,閒,閒,贏,100,100.0,-445.0
48,閒,和,和局,0,0.0,-445.0
49,閒,閒,贏,100,100.0,-345.0
50,閒,莊,輸,100,-100.0,-445.0
51,閒,閒,贏,100,100.0,-345.0
52,閒,莊,輸,100,-100.0,-445.0
53,閒,閒,贏,100,100.0,-345.0
54,閒,莊,輸,100,-100.0,-445.0
55,閒,莊,輸,100,-100.0,-545.0
56,閒,莊,輸,100,-100.0,-645.0
57,莊,莊,贏,100,95.0,-550.0
58,莊,閒,輸,100,-100.0,-650.0
59,莊,莊,贏,100,95.0,-555.0
60,莊,和,和局,0,0.0,-555.0
61,莊,莊,贏,100,95.0,-460.0
62,莊,閒,輸,100,-100.0,-560.0
63,莊,莊,贏,100,95.0,-465.0
64,莊,閒,輸,100,-100.0,-565.0
65,莊,和,和局,0,0.0,-565.0
66,莊,莊,贏,100,95.0,-470.0
67,莊,莊,贏,100,95.0,-375.0
68,莊,莊,贏,100,95.0,-280.0
69,莊,和,和局,0,0.0,-280.0
70,莊,莊,贏,100,95.0,-185.0
71,莊,莊,贏,100,95.0,-90.0
72,莊,莊,贏,100,95.0,5.0
73,莊,莊,贏,100,95.0,100.0
74,莊,莊,贏,100,95.0,195.0
75,莊,莊,贏,100,95.0,290.0
76,莊,閒,輸,100,-100.0,190.0
77,莊,閒,輸,100,-100.0,90.0
78,莊,莊,贏,100,95.0,185.0
79,莊,閒,輸,100,-100.0,85.0
80,莊,莊,贏,100,95.0,180.0
81,莊,莊,贏,100,95.0,275.0
82,莊,閒,輸,100,-100.0,175.0
83,莊,閒,輸,100,-100.0,75.0
84,莊,莊,贏,100,95.0,170.0
85,莊,莊,贏,100,95.0,265.0
86,莊,莊,贏,100,95.0,360.0
87,莊,閒,輸,100,-100.0,260.0
88,莊,閒,輸,100,-100.0,160.0
89,莊,莊,贏,100,95.0,255.0
90,莊,莊,贏,100,95.0,350.0
91,莊,莊,贏,100,95.0,445.0
92,莊,莊,贏,100,95.0,540.0
93,莊,閒,輸,100,-100.0,440.0
94,莊,閒,輸,100,-100.0,340.0
95,莊,莊,贏,100,95.0,435.0
96,莊,閒,輸,100,-100.0,335.0
97,莊,閒,輸,100,-100.0,235.0
98,莊,莊,贏,100,95.0,330.0
99,莊,莊,贏,100,95.0,425.0
100,莊,閒,輸,100,-100.0,325.0
101,莊,莊,贏,100,95.0,420.0
102,莊,和,和局,0,0.0,420.0
103,閒,莊,輸,100,-100.0,320.0
104,莊,莊,贏,100,95.0,415.0
105,莊,和,和局,0,0.0,415.0
106,莊,閒,輸,100,-100.0,315.0
107,莊,和,和局,0,0.0,315.0
108,莊,閒,輸,100,-100.0,215.0
109,莊,閒,輸,100,-100.0,115.0
110,閒,莊,輸,100,-100.0,15.0
111,莊,莊,贏,100,95.0,110.0
112,莊,閒,輸,100,-100.0,10.0
113,莊,閒,輸,100,-100.0,-90.0
114,閒,閒,贏,100,100.0,10.0
115,閒,和,和局,0,0.0,10.0
116,閒,莊,輸,100,-100.0,-90.0
117,閒,莊,輸,100,-100.0,-190.0
118,閒,閒,贏,100,100.0,-90.0
119,閒,莊,輸,100,-100.0,-190.0
120,莊,莊,贏,100,95.0,-95.0
121,莊,閒,輸,100,-100.0,-195.0
122,閒,閒,贏,100,100.0,-95.0
123,閒,莊,輸,100,-100.0,-195.0
124,莊,莊,贏,100,95.0,-100.0
125,莊,莊,贏,100,95.0,-5.0
126,莊,閒,輸,100,-100.0,-105.0
127,莊,閒,輸,100,-100.0,-205.0
128,莊,閒,輸,100,-100.0,-305.0
129,莊,莊,贏,100,95.0,-210.0
130,莊,和,和局,0,0.0,-210.0
131,閒,閒,贏,100,100.0,-110.0
132,閒,莊,輸,100,-100.0,-210.0
133,莊,莊,贏,100,95.0,-115.0
134,莊,閒,輸,100,-100.0,-215.0
135,閒,閒,贏,100,100.0,-115.0
136,閒,莊,輸,100,-100.0,-215.0
137,閒,閒,贏,100,100.0,-115.0
138,閒,莊,輸,100,-100.0,-215.0
139,莊,莊,贏,100,95.0,-120.0
140,莊,閒,輸,100,-100.0,-220.0
141,莊,閒,輸,100,-100.0,-320.0
142,莊,莊,贏,100,95.0,-225.0
143,莊,莊,贏,100,95.0,-130.0
144,莊,閒,輸,100,-100.0,-230.0
145,莊,閒,輸,100,-100.0,-330.0
146,莊,閒,輸,100,-100.0,-430.0
147,閒,閒,贏,100,100.0,-330.0
148,閒,閒,贏,100,100.0,-230.0
149,閒,莊,輸,100,-100.0,-330.0
150,閒,閒,贏,100,100.0,-230.0
151,閒,閒,贏,100,100.0,-130.0
152,閒,閒,贏,100,100.0,-30.0
153,閒,和,和局,0,0.0,-30.0
154,閒,莊,輸,100,-100.0,-130.0
155,閒,莊,輸,100,-100.0,-230.0
156,閒,莊,輸,100,-100.0,-330.0
157,閒,莊,輸,100,-100.0,-430.0
158,莊,閒,輸,100,-100.0,-530.0
159,莊,閒,輸,100,-100.0,-630.0
160,閒,閒,贏,100,100.0,-530.0
161,閒,閒,贏,100,100.0,-430.0
162,閒,閒,贏,100,100.0,-330.0
163,閒,莊,輸,100,-100.0,-430.0
164,莊,莊,贏,100,95.0,-335.0
165,莊,莊,贏,100,95.0,-240.0
166,莊,閒,輸,100,-100.0,-340.0
167,閒,莊,輸,100,-100.0,-440.0
168,閒,莊,輸,100,-100.0,-540.0
169,莊,莊,贏,100,95.0,-445.0
170,莊,閒,輸,100,-100.0,-545.0
171,莊,莊,贏,100,95.0,-450.0
172,莊,閒,輸,100,-100.0,-550.0
173,莊,莊,贏,100,95.0,-455.0
174,莊,閒,輸,100,-100.0,-555.0
175,莊,閒,輸,100,-100.0,-655.0
176,莊,閒,輸,100,-100.0,-755.0
177,莊,莊,贏,100,95.0,-660.0
178,莊,閒,輸,100,-100.0,-760.0
179,閒,莊,輸,100,-100.0,-860.0
180,閒,莊,輸,100,-100.0,-960.0
181,莊,莊,贏,100,95.0,-865.0
182,莊,莊,贏,100,95.0,-770.0
183,莊,閒,輸,100,-100.0,-870.0
184,莊,莊,贏,100,95.0,-775.0
185,莊,莊,贏,100,95.0,-680.0
186,莊,閒,輸,100,-100.0,-780.0
187,莊,莊,贏,100,95.0,-685.0
188,莊,莊,贏,100,95.0,-590.0
189,莊,莊,贏,100,95.0,-495.0
190,莊,閒,輸,100,-100.0,-595.0
191,莊,和,和局,0,0.0,-595.0
192,莊,莊,贏,100,95.0,-500.0
193,莊,閒,輸,100,-100.0,-600.0
194,莊,莊,贏,100,95.0,-505.0
195,莊,莊,贏,100,95.0,-410.0
196,莊,莊,贏,100,95.0,-315.0
197,莊,閒,輸,100,-100.0,-415.0
198,莊,閒,輸,100,-100.0,-515.0
199,莊,莊,贏,100,95.0,-420.0
200,莊,閒,輸,100,-100.0,-520.0
201,莊,閒,輸,100,-100.0,-620.0
202,莊,莊,贏,100,95.0,-525.0
203,莊,閒,輸,100,-100.0,-625.0
204,莊,莊,贏,100,95.0,-530.0
205,莊,閒,輸,100,-100.0,-630.0
206,閒,莊,輸,100,-100.0,-730.0
207,閒,莊,輸,100,-100.0,-830.0
208,莊,和,和局,0,0.0,-830.0
209,莊,閒,輸,100,-100.0,-930.0
210,閒,和,和局,0,0.0,-930.0
211,莊,閒,輸,100,-100.0,-1030.0
212,莊,莊,贏,100,95.0,-935.0
213,莊,閒,輸,100,-100.0,-1035.0
214,莊,閒,輸,100,-100.0,-1135.0
215,閒,閒,贏,100,100.0,-1035.0
216,閒,閒,贏,100,100.0,-935.0
217,閒,莊,輸,100,-100.0,-1035.0
218,閒,莊,輸,100,-100.0,-1135.0
219,閒,閒,贏,100,100.0,-1035.0
220,閒,莊,輸,100,-100.0,-1135.0
221,閒,閒,贏,100,100.0,-1035.0
222,閒,莊,輸,100,-100.0,-1135.0
223,閒,閒,贏,100,100.0,-1035.0
224,閒,莊,輸,100,-100.0,-1135.0
225,莊,閒,輸,100,-100.0,-1235.0
226,莊,閒,輸,100,-100.0,-1335.0
227,莊,莊,贏,100,95.0,-1240.0
228,莊,莊,贏,100,95.0,-1145.0
229,莊,閒,輸,100,-100.0,-1245.0
230,莊,莊,贏,100,95.0,-1150.0
231,莊,莊,贏,100,95.0,-1055.0
232,莊,閒,輸,100,-100.0,-1155.0
233,莊,閒,輸,100,-100.0,-1255.0
234,莊,閒,輸,100,-100.0,-1355.0
235,閒,閒,贏,100,100.0,-1255.0
236,閒,莊,輸,100,-100.0,-1355.0
237,莊,莊,贏,100,95.0,-1260.0
238,莊,閒,輸,100,-100.0,-1360.0
239,閒,閒,贏,100,100.0,-1260.0
240,閒,莊,輸,100,-100.0,-1360.0
241,閒,莊,輸,100,-100.0,-1460.0
242,閒,莊,輸,100,-100.0,-1560.0
243,莊,莊,贏,100,95.0,-1465.0
244,莊,和,和局,0,0.0,-1465.0
245,莊,莊,贏,100,95.0,-1370.0
246,莊,閒,輸,100,-100.0,-1470.0
247,莊,閒,輸,100,-100.0,-1570.0
248,莊,莊,贏,100,95.0,-1475.0
249,莊,閒,輸,100,-100.0,-1575.0
250,莊,閒,輸,100,-100.0,-1675.0
251,莊,閒,輸,100,-100.0,-1775.0
252,閒,閒,贏,100,100.0,-1675.0
253,閒,閒,贏,100,100.0,-1575.0
254,閒,閒,贏,100,100.0,-1475.0
255,閒,閒,贏,100,100.0,-1375.0
256,閒,莊,輸,100,-100.0,-1475.0
257,閒,莊,輸,100,-100.0,-1575.0
258,閒,閒,贏,100,100.0,-1475.0
259,閒,和,和局,0,0.0,-1475.0
260,閒,莊,輸,100,-100.0,-1575.0
261,閒,莊,輸,100,-100.0,-1675.0
262,閒,閒,贏,100,100.0,-1575.0
263,閒,閒,贏,100,100.0,-1475.0
264,閒,閒,贏,100,100.0,-1375.0
