round,prediction,actual,result,bet,profit,balance
1,莊,莊,贏,100,95.0,95.0
2,莊,莊,贏,100,95.0,190.0
3,莊,莊,贏,100,95.0,285.0
4,莊,莊,贏,100,95.0,380.0
5,莊,閒,輸,100,-100.0,280.0
6,莊,閒,輸,100,-100.0,180.0
7,莊,閒,輸,100,-100.0,80.0
8,莊,閒,輸,100,-100.0,-20.0
9,莊,閒,輸,100,-100.0,-120.0
10,閒,莊,輸,100,-100.0,-220.0
11,莊,莊,贏,100,95.0,-125.0
12,莊,和,和局,0,0.0,-125.0
13,莊,莊,贏,100,95.0,-30.0
14,莊,閒,輸,100,-100.0,-130.0
15,莊,閒,輸,100,-100.0,-230.0
16,莊,閒,輸,100,-100.0,-330.0
17,閒,莊,輸,100,-100.0,-430.0
18,莊,閒,輸,100,-100.0,-530.0
19,閒,莊,輸,100,-100.0,-630.0
20,莊,閒,輸,100,-100.0,-730.0
21,閒,閒,贏,100,100.0,-630.0
22,閒,莊,輸,100,-100.0,-730.0
23,閒,莊,輸,100,-100.0,-830.0
24,莊,莊,贏,100,95.0,-735.0
25,莊,閒,輸,100,-100.0,-835.0
26,莊,莊,贏,100,95.0,-740.0
27,莊,閒,輸,100,-100.0,-840.0
28,莊,莊,贏,100,95.0,-745.0
29,莊,閒,輸,100,-100.0,-845.0
30,莊,莊,贏,100,95.0,-750.0
31,莊,閒,輸,100,-100.0,-850.0
32,莊,閒,輸,100,-100.0,-950.0
33,閒,閒,贏,100,100.0,-850.0
34,閒,和,和局,0,0.0,-850.0
35,閒,和,和局,0,0.0,-850.0
36,閒,和,和局,0,0.0,-850.0
37,閒,和,和局,0,0.0,-850.0
38,閒,莊,輸,100,-100.0,-950.0
39,閒,閒,贏,100,100.0,-850.0
40,閒,閒,贏,100,100.0,-750.0
41,閒,莊,輸,100,-100.0,-850.0
42,閒,和,和局,0,0.0,-850.0
43,閒,閒,贏,100,100.0,-750.0
44,閒,和,和局,0,0.0,-750.0
45,閒,莊,輸,100,-100.0,-850.0
46,閒,閒,贏,100,100.0,-750.0
47,閒,閒,贏,100,100.0,-650.0
48,閒,和,和局,0,0.0,-650.0
49,閒,閒,贏,100,100.0,-550.0
50,閒,莊,輸,100,-100.0,-650.0
51,閒,閒,贏,100,100.0,-550.0
52,閒,莊,輸,100,-100.0,-650.0
53,閒,閒,贏,100,100.0,-550.0
54,閒,莊,輸,100,-100.0,-650.0
55,閒,莊,輸,100,-100.0,-750.0
56,閒,莊,輸,100,-100.0,-850.0
57,閒,莊,輸,100,-100.0,-950.0
58,閒,閒,贏,100,100.0,-850.0
59,閒,莊,輸,100,-100.0,-950.0
60,閒,和,和局,0,0.0,-950.0
61,閒,莊,輸,100,-100.0,-1050.0
62,莊,閒,輸,100,-100.0,-1150.0
63,閒,莊,輸,100,-100.0,-1250.0
64,莊,閒,輸,100,-100.0,-1350.0
65,閒,和,和局,0,0.0,-1350.0
66,閒,莊,輸,100,-100.0,-1450.0
67,莊,莊,贏,100,95.0,-1355.0
68,莊,莊,贏,100,95.0,-1260.0
69,莊,和,和局,0,0.0,-1260.0
70,莊,莊,贏,100,95.0,-1165.0
71,莊,莊,贏,100,95.0,-1070.0
72,莊,莊,贏,100,95.0,-975.0
73,莊,莊,贏,100,95.0,-880.0
74,莊,莊,贏,100,95.0,-785.0
75,莊,莊,贏,100,95.0,-690.0
76,莊,閒,輸,100,-100.0,-790.0
77,莊,閒,輸,100,-100.0,-890.0
78,莊,莊,贏,100,95.0,-795.0
79,莊,閒,輸,100,-100.0,-895.0
80,莊,莊,贏,100,95.0,-800.0
81,莊,莊,贏,100,95.0,-705.0
82,莊,閒,輸,100,-100.0,-805.0
83,莊,閒,輸,100,-100.0,-905.0
84,莊,莊,贏,100,95.0,-810.0
85,莊,莊,贏,100,95.0,-715.0
86,莊,莊,贏,100,95.0,-620.0
87,莊,閒,輸,100,-100.0,-720.0
88,莊,閒,輸,100,-100.0,-820.0
89,莊,莊,贏,100,95.0,-725.0
90,莊,莊,贏,100,95.0,-630.0
91,莊,莊,贏,100,95.0,-535.0
92,莊,莊,贏,100,95.0,-440.0
93,莊,閒,輸,100,-100.0,-540.0
94,莊,閒,輸,100,-100.0,-640.0
95,莊,莊,贏,100,95.0,-545.0
96,莊,閒,輸,100,-100.0,-645.0
97,莊,閒,輸,100,-100.0,-745.0
98,莊,莊,贏,100,95.0,-650.0
99,莊,莊,贏,100,95.0,-555.0
100,莊,閒,輸,100,-100.0,-655.0
101,莊,莊,贏,100,95.0,-560.0
102,莊,和,和局,0,0.0,-560.0
103,莊,莊,贏,100,95.0,-465.0
104,莊,莊,贏,100,95.0,-370.0
105,莊,和,和局,0,0.0,-370.0
106,莊,閒,輸,100,-100.0,-470.0
107,莊,和,和局,0,0.0,-470.0
108,莊,閒,輸,100,-100.0,-570.0
109,莊,閒,輸,100,-100.0,-670.0
110,莊,莊,贏,100,95.0,-575.0
111,莊,莊,贏,100,95.0,-480.0
112,莊,閒,輸,100,-100.0,-580.0
113,莊,閒,輸,100,-100.0,-680.0
114,莊,閒,輸,100,-100.0,-780.0
115,莊,和,和局,0,0.0,-780.0
116,莊,莊,贏,100,95.0,-685.0
117,莊,莊,贏,100,95.0,-590.0
118,莊,閒,輸,100,-100.0,-690.0
119,莊,莊,贏,100,95.0,-595.0
120,莊,莊,贏,100,95.0,-500.0
121,莊,閒,輸,100,-100.0,-600.0
122,莊,閒,輸,100,-100.0,-700.0
123,莊,莊,贏,100,95.0,-605.0
124,莊,莊,贏,100,95.0,-510.0
125,莊,莊,贏,100,95.0,-415.0
126,莊,閒,輸,100,-100.0,-515.0
127,莊,閒,輸,100,-100.0,-615.0
128,莊,閒,輸,100,-100.0,-715.0
129,莊,莊,贏,100,95.0,-620.0
130,莊,和,和局,0,0.0,-620.0
131,莊,閒,輸,100,-100.0,-720.0
132,莊,莊,贏,100,95.0,-625.0
133,莊,莊,贏,100,95.0,-530.0
134,莊,閒,輸,100,-100.0,-630.0
135,莊,閒,輸,100,-100.0,-730.0
136,莊,莊,贏,100,95.0,-635.0
137,莊,閒,輸,100,-100.0,-735.0
138,莊,莊,贏,100,95.0,-640.0
139,莊,莊,贏,100,95.0,-545.0
140,莊,閒,輸,100,-100.0,-645.0
141,莊,閒,輸,100,-100.0,-745.0
142,莊,莊,贏,100,95.0,-650.0
143,莊,莊,贏,100,95.0,-555.0
144,莊,閒,輸,100,-100.0,-655.0
145,莊,閒,輸,100,-100.0,-755.0
146,莊,閒,輸,100,-100.0,-855.0
147,莊,閒,輸,100,-100.0,-955.0
148,莊,閒,輸,100,-100.0,-1055.0
149,莊,莊,贏,100,95.0,-960.0
150,莊,閒,輸,100,-100.0,-1060.0
151,莊,閒,輸,100,-100.0,-1160.0
152,莊,閒,輸,100,-100.0,-1260.0
153,莊,和,和局,0,0.0,-1260.0
154,莊,莊,贏,100,95.0,-1165.0
155,莊,莊,贏,100,95.0,-1070.0
156,莊,莊,贏,100,95.0,-975.0
157,莊,莊,贏,100,95.0,-880.0
158,莊,閒,輸,100,-100.0,-980.0
159,莊,閒,輸,100,-100.0,-1080.0
160,莊,閒,輸,100,-100.0,-1180.0
161,莊,閒,輸,100,-100.0,-1280.0
162,莊,閒,輸,100,-100.0,-1380.0
163,莊,莊,贏,100,95.0,-1285.0
164,莊,莊,贏,100,95.0,-1190.0
165,莊,莊,贏,100,95.0,-1095.0
166,莊,閒,輸,100,-100.0,-1195.0
167,莊,莊,贏,100,95.0,-1100.0
168,莊,莊,贏,100,95.0,-1005.0
169,莊,莊,贏,100,95.0,-910.0
170,莊,閒,輸,100,-100.0,-1010.0
171,莊,莊,贏,100,95.0,-915.0
172,莊,閒,輸,100,-100.0,-1015.0
173,莊,莊,贏,100,95.0,-920.0
174,莊,閒,輸,100,-100.0,-1020.0
175,莊,閒,輸,100,-100.0,-1120.0
176,莊,閒,輸,100,-100.0,-1220.0
177,莊,莊,贏,100,95.0,-1125.0
178,莊,閒,輸,100,-100.0,-1225.0
179,莊,莊,贏,100,95.0,-1130.0
180,莊,莊,贏,100,95.0,-1035.0
181,莊,莊,贏,100,95.0,-940.0
182,莊,莊,贏,100,95.0,-845.0
183,莊,閒,輸,100,-100.0,-945.0
184,莊,莊,贏,100,95.0,-850.0
185,莊,莊,贏,100,95.0,-755.0
186,莊,閒,輸,100,-100.0,-855.0
187,莊,莊,贏,100,95.0,-760.0
188,莊,莊,贏,100,95.0,-665.0
189,莊,莊,贏,100,95.0,-570.0
190,莊,閒,輸,100,-100.0,-670.0
191,莊,和,和局,0,0.0,-670.0
192,莊,莊,贏,100,95.0,-575.0
193,莊,閒,輸,100,-100.0,-675.0
194,莊,莊,贏,100,95.0,-580.0
195,莊,莊,贏,100,95.0,-485.0
196,莊,莊,贏,100,95.0,-390.0
197,莊,閒,輸,100,-100.0,-490.0
198,莊,閒,輸,100,-100.0,-590.0
199,莊,莊,贏,100,95.0,-495.0
200,莊,閒,輸,100,-100.0,-595.0
201,莊,閒,輸,100,-100.0,-695.0
202,莊,莊,贏,100,95.0,-600.0
203,莊,閒,輸,100,-100.0,-700.0
204,莊,莊,贏,100,95.0,-605.0
205,莊,閒,輸,100,-100.0,-705.0
206,莊,莊,贏,100,95.0,-610.0
207,莊,莊,贏,100,95.0,-515.0
208,莊,和,和局,0,0.0,-515.0
209,莊,閒,輸,100,-100.0,-615.0
210,莊,和,和局,0,0.0,-615.0
211,莊,閒,輸,100,-100.0,-715.0
212,莊,莊,贏,100,95.0,-620.0
213,莊,閒,輸,100,-100.0,-720.0
214,莊,閒,輸,100,-100.0,-820.0
215,莊,閒,輸,100,-100.0,-920.0
216,莊,閒,輸,100,-100.0,-1020.0
217,莊,莊,贏,100,95.0,-925.0
218,莊,莊,贏,100,95.0,-830.0
219,莊,閒,輸,100,-100.0,-930.0
220,莊,莊,贏,100,95.0,-835.0
221,莊,閒,輸,100,-100.0,-935.0
222,莊,莊,贏,100,95.0,-840.0
223,莊,閒,輸,100,-100.0,-940.0
224,莊,莊,贏,100,95.0,-845.0
225,莊,閒,輸,100,-100.0,-945.0
226,莊,閒,輸,100,-100.0,-1045.0
227,莊,莊,贏,100,95.0,-950.0
228,莊,莊,贏,100,95.0,-855.0
229,莊,閒,輸,100,-100.0,-955.0
230,莊,莊,贏,100,95.0,-860.0
231,莊,莊,贏,100,95.0,-765.0
232,莊,閒,輸,100,-100.0,-865.0
233,莊,閒,輸,100,-100.0,-965.0
234,莊,閒,輸,100,-100.0,-1065.0
235,莊,閒,輸,100,-100.0,-1165.0
236,莊,莊,贏,100,95.0,-1070.0
237,莊,莊,贏,100,95.0,-975.0
238,莊,閒,輸,100,-100.0,-1075.0
239,莊,閒,輸,100,-100.0,-1175.0
240,莊,莊,贏,100,95.0,-1080.0
241,莊,莊,贏,100,95.0,-985.0
242,莊,莊,贏,100,95.0,-890.0
243,莊,莊,贏,100,95.0,-795.0
244,莊,和,和局,0,0.0,-795.0
245,莊,莊,贏,100,95.0,-700.0
246,莊,閒,輸,100,-100.0,-800.0
247,莊,閒,輸,100,-100.0,-900.0
248,莊,莊,贏,100,95.0,-805.0
249,莊,閒,輸,100,-100.0,-905.0
250,莊,閒,輸,100,-100.0,-1005.0
251,莊,閒,輸,100,-100.0,-1105.0
252,莊,閒,輸,100,-100.0,-1205.0
253,莊,閒,輸,100,-100.0,-1305.0
254,莊,閒,輸,100,-100.0,-1405.0
255,莊,閒,輸,100,-100.0,-1505.0
256,莊,莊,贏,100,95.0,-1410.0
257,莊,莊,贏,100,95.0,-1315.0
258,莊,閒,輸,100,-100.0,-1415.0
259,莊,和,和局,0,0.0,-1415.0
260,莊,莊,贏,100,95.0,-1320.0
261,莊,莊,贏,100,95.0,-1225.0
262,莊,閒,輸,100,-100.0,-1325.0
263,莊,閒,輸,100,-100.0,-1425.0
264,莊,閒,輸,100,-100.0,-1525.0
265,莊,莊,贏,100,95.0,-1430.0
266,莊,閒,輸,100,-100.0,-1530.0
267,莊,莊,贏,100,95.0,-1435.0
268,莊,閒,輸,100,-100.0,-1535.0
269,莊,莊,贏,100,95.0,-1440.0
270,莊,和,和局,0,0.0,-1440.0
271,莊,莊,贏,100,95.0,-1345.0
272,莊,閒,輸,100,-100.0,-1445.0
273,莊,莊,贏,100,95.0,-1350.0
274,莊,莊,贏,100,95.0,-1255.0
275,莊,閒,輸,100,-100.0,-1355.0
276,莊,莊,贏,100,95.0,-1260.0
277,莊,莊,贏,100,95.0,-1165.0
278,莊,莊,贏,100,95.0,-1070.0
279,莊,莊,贏,100,95.0,-975.0
280,莊,閒,輸,100,-100.0,-1075.0
281,莊,莊,贏,100,95.0,-980.0
282,莊,閒,輸,100,-100.0,-1080.0
283,莊,莊,贏,100,95.0,-985.0
284,莊,閒,輸,100,-100.0,-1085.0
285,莊,莊,贏,100,95.0,-990.0
286,莊,閒,輸,100,-100.0,-1090.0
287,莊,莊,贏,100,95.0,-995.0
288,莊,和,和局,0,0.0,-995.0
289,莊,莊,贏,100,95.0,-900.0
290,莊,閒,輸,100,-100.0,-1000.0
291,莊,莊,贏,100,95.0,-905.0
292,莊,莊,贏,100,95.0,-810.0
293,莊,莊,贏,100,95.0,-715.0
294,莊,莊,贏,100,95.0,-620.0
295,莊,莊,贏,100,95.0,-525.0
296,莊,閒,輸,100,-100.0,-625.0
297,莊,莊,贏,100,95.0,-530.0
298,莊,閒,輸,100,-100.0,-630.0
299,莊,莊,贏,100,95.0,-535.0
300,莊,莊,贏,100,95.0,-440.0
301,莊,閒,輸,100,-100.0,-540.0
302,莊,閒,輸,100,-100.0,-640.0
303,莊,莊,贏,100,95.0,-545.0
304,莊,閒,輸,100,-100.0,-645.0
305,莊,閒,輸,100,-100.0,-745.0
306,莊,莊,贏,100,95.0,-650.0
307,莊,莊,贏,100,95.0,-555.0
308,莊,閒,輸,100,-100.0,-655.0
309,莊,莊,贏,100,95.0,-560.0
310,莊,閒,輸,100,-100.0,-660.0
311,莊,閒,輸,100,-100.0,-760.0
312,莊,莊,贏,100,95.0,-665.0
313,莊,閒,輸,100,-100.0,-765.0
314,莊,和,和局,0,0.0,-765.0
315,莊,莊,贏,100,95.0,-670.0
316,莊,莊,贏,100,95.0,-575.0
317,莊,閒,輸,100,-100.0,-675.0
318,莊,莊,贏,100,95.0,-580.0
319,莊,莊,贏,100,95.0,-485.0
320,莊,莊,贏,100,95.0,-390.0
321,莊,莊,贏,100,95.0,-295.0
322,莊,莊,贏,100,95.0,-200.0
323,莊,和,和局,0,0.0,-200.0
324,莊,閒,輸,100,-100.0,-300.0
325,莊,閒,輸,100,-100.0,-400.0
326,莊,閒,輸,100,-100.0,-500.0
327,莊,莊,贏,100,95.0,-405.0
328,莊,閒,輸,100,-100.0,-505.0
329,莊,莊,贏,100,95.0,-410.0
330,莊,閒,輸,100,-100.0,-510.0
331,莊,閒,輸,100,-100.0,-610.0
